	tweet_textual_content	len	ID	Date	Source	Likes	RTs
3185	RT @nataliascap: rt if you recognized Jarvis in endgame. I’m trying to see something https://t.co/6iebseMIzN	108	1140702213091860480	Mon Jun 17 19:26:15 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	4129
3186	// ALRIGHT IM AT THE THEATRE ITS ENDGAME TIME PLEASE SAVE  ME	61	1140702409586614272	Mon Jun 17 19:27:02 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	0
3187	"RT @woIvern: the avengers: we need to distract thanos 

tony: we have the kid 

the kid: https://t.co/pCfyk36yCT"	112	1140702300610224131	Mon Jun 17 19:26:36 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	6339
3188	RT @ChettEyeKnight: Looks like a countdown....?? #MarvelComics https://t.co/MnTgtr9WJa	86	1140702253843660801	Mon Jun 17 19:26:25 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	1
3189	I’M LOSING MY SHIT AT MARVEL’S SPIDER-COUNTDOWN... RAIMI FANS I’M SO SORRY	74	1140702407623446528	Mon Jun 17 19:27:01 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	9	0
3190	I waited 3 HOURS for Avengers game (Gameplay Footage) https://t.co/2lKJd2UXDb via @YouTube	90	1140702240921006081	Mon Jun 17 19:26:22 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	0
3191	RT @whorunbey: Hi, I drew female characters from Disney as Marvel heroines ♡ https://t.co/pKcZ4vFEPH	100	1140702321665556483	Mon Jun 17 19:26:41 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	57
3192	RT @nataliascap: rt if you recognized Jarvis in endgame. I’m trying to see something https://t.co/6iebseMIzN	108	1140702221488807937	Mon Jun 17 19:26:17 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	4129
3193	RT @jacksfilms: Dear @elonmusk I know you're in some hot water right now BUT if you purchased $45,230,372 worth of Avengers: Endgame movie…	139	1140702306830356480	Mon Jun 17 19:26:37 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	568
3194	RT @peskito3: Ni Spiderman 4, ni crossover con 4F ni leches. La cuenta de @Marvel está troleando con una cuenta atrás. Acaba de publicar un…	140	1140702362421682178	Mon Jun 17 19:26:51 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	2
3195	RT @Crimetimefr: Friends zone level avengers. https://t.co/XgwwV5sXmq	69	1140702390154334209	Mon Jun 17 19:26:57 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	13
3196	@Browntable_Ent I mean dude you made a video about Thor's regression in Endgame but for the most part you just make… https://t.co/MFIEAkklj0	140	1140702414837833729	Mon Jun 17 19:27:03 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
3197	RT @jacksfilms: Dear @elonmusk I know you're in some hot water right now BUT if you purchased $45,230,372 worth of Avengers: Endgame movie…	139	1140702242334478337	Mon Jun 17 19:26:22 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	568
3198	RT @Marvel: #MarvelComics https://t.co/VVIX4bkRyf	49	1140702390171176966	Mon Jun 17 19:26:57 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	1303
3199	RT @dizonyland: LMAOO if the avengers were filipino https://t.co/iGTPoQazqD	75	1140702360903311366	Mon Jun 17 19:26:50 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	214
3200	RT @30SecFight: Avengers: Endgame was like.... 🤣 https://t.co/Si5Oplmf2m	72	1140702200244690944	Mon Jun 17 19:26:12 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	7476
3201	@FUTWIZ He feels incredible in game, my endgame CAM	51	1140702293022691329	Mon Jun 17 19:26:34 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
3202	@Drifty_TFBS @Sha2Khan @havehopehut He does this on purpose i swear. It's actually the movie he loves endgame that… https://t.co/XWMfH2NwlO	139	1140702204371906563	Mon Jun 17 19:26:13 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	0
3203	RT @JuegoDeTronosTM: Avengers Endgame, escena final versión LEGO https://t.co/YMtoSh7Uuw	88	1140702352082722818	Mon Jun 17 19:26:48 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	765
3204	"RT @TIME: ""It's not the endgame, because the Hong Kong government and Beijing just turned a whole generation of students from citizens to d…"	140	1140702389688766464	Mon Jun 17 19:26:57 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	564
