4	tweet_textual_content	len	ID	Date	Source	Likes	RTs
39	@G3N13M4G1C Genie. 당신이 내 세상도, 기쁨도 몇 배로 만들었어요. (슬쩍 몸을 뻗어 볼에 쪽 입 맞췄다.) 침실로 가긴 해야 하지만, 오늘따라 더 가기 싫어지네요. 계속 이렇게 보고 있고 싶은데.	118	1140949471938768898	Tue Jun 18 11:48:46 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
40	@youkheily eh dulu gue pernah dapet kupon genie gt trs gue reedem ke fanbase soalnya gue gangerti hangul semua. cob… https://t.co/afEs7uZhAU	140	1140948959067643904	Tue Jun 18 11:46:44 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
41	"RT @SJofficial: #YESUNG #예성 The 3rd Mini Album [#PinkMagic]
💗Melon: https://t.co/KEuAqnKoi6
💗FLO: https://t.co/GddQ3Gg32r
💗Genie: https://t…"	143	1140949059974258688	Tue Jun 18 11:47:08 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	2684
42	"Jack Sparrow ft. Thugs of Hindostan wala Amir ft. Night King vs. Aladdin
Best of all the worlds😂😂😂 https://t.co/P4JYFxwcBW"	125	1140949066076938243	Tue Jun 18 11:47:09 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	0
43	"RT @itsSarahLines: When Aladdin said:

“Sometimes you just have to take a risk”

 I did that."	93	1140949188928139265	Tue Jun 18 11:47:39 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	377
44	"絶対集めようって思ってた実写版衣装のfunko pop揃った✨
勿体無くて箱から出せないwww

#アラジン #aladdin #funkopop https://t.co/QIgj6nA1mP"	97	1140949175858679808	Tue Jun 18 11:47:35 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
45	RT @MenaMassoud: Smiling because #Aladdin is the number 1 movie in the UK for the 4th weekend in a row! Thanks so much for all your support…	140	1140949205961207808	Tue Jun 18 11:47:43 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	6120
46	Aladdin(1992) – Arabian Nights Intro(Will Smith Version) https://t.co/5X4voPeXuR https://t.co/4fuSXNQFl1	104	1140949401797574657	Tue Jun 18 11:48:29 +0000 2019	"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>"	0	0
47	Judal gets his hair caught just as Aladdin comes along reading a book called Kama Sutra. Chaos ensues.	102	1140949196234608640	Tue Jun 18 11:47:40 +0000 2019	"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>"	0	0
48	RT @KidPaiEngg: “ถ้าไม่สู้เพื่อสิ่งที่ต้องการ ก็อย่าร้องไห้กับสิ่งที่ต้องเสียไป” -Will Smith	92	1140949369862049792	Tue Jun 18 11:48:22 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	13938
49	"[genie][공유]투명 우산 (Don't Let Me Go) - SHINee (샤이니)
https://t.co/jSqNvyWHog"	73	1140949435574210565	Tue Jun 18 11:48:37 +0000 2019	"<a href=""http://www.genie.co.kr"" rel=""nofollow"">iGenieMusic</a>"	1	0
50	"RT @saddiepunk: aladdin: *risk his life only for princess jasmine*

jafar: https://t.co/6q90ibHXIx"	98	1140949416062287872	Tue Jun 18 11:48:33 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	676
51	RT @ThatOneNerdWith: Anyway I was listening to the soundtrack of Aladdin... https://t.co/VlKRw2aEE0	99	1140949136923070464	Tue Jun 18 11:47:26 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	2
52	"john wick 3 ✔
godzilla ✔
aladdin ✔
brightburn ✔
dark pheonix 
mib"	65	1140949473994186753	Tue Jun 18 11:48:47 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
53	"RT @AB6IX_Charts: 190618 @AB6IX #BREATHE - 7PM  KST 

#14 Mnet (-2)
#21 Soribada (=) 
#30 Naver (NEW)
#97 MelOn (-6)
#160 Genie (-21)
❌  Bu…"	140	1140948941900435459	Tue Jun 18 11:46:40 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	46
54	How a Dystopian Will Smith Movie Was Turned Into a Real-life Nightmare https://t.co/QztnGJlUmj #wuwei #today #best #news #daily #feed	133	1140949281370791936	Tue Jun 18 11:48:01 +0000 2019	"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"	0	0
55	"RT @MenaMassoud: I call this the ‘I’m in charge’ approach. Highly recommend it when you don’t know how to approach your crush.
#Aladdin htt…"	140	1140949342951358465	Tue Jun 18 11:48:15 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	1892
56	RT @KidPaiEngg: “ถ้าไม่สู้เพื่อสิ่งที่ต้องการ ก็อย่าร้องไห้กับสิ่งที่ต้องเสียไป” -Will Smith	92	1140949043880710144	Tue Jun 18 11:47:04 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	13938
57	someone asking genie “what’s a Capricorn selfie?” it’s the essence of any mirror selfie I’ve ever taken thank u NEXT	116	1140949501261168641	Tue Jun 18 11:48:53 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	2	0
58	RT @chuuzus: one of the most inspirational father &amp; son scenes from will smith and jaden smith. https://t.co/aGINTbR7Mp	123	1140949469208436737	Tue Jun 18 11:48:45 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	16108
