	tweet_textual_content	len	ID	Date	Source	Likes	RTs
52	"こんなにカッコイイクリヘムが観れて、評価低いの？MIB。

めちゃくちゃ気になる。早く見に行きたい……✨ https://t.co/qCDyVbAQZ2"	76	1140620742570074113	Mon Jun 17 14:02:31 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
53	RT @MenInBlack: Celebrate #FathersDay with #MIB! No suit needed. 😉 See it in theaters now! https://t.co/Fv6h2rsquw	114	1140620032956936192	Mon Jun 17 13:59:42 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	113
54	"RT @Quokaq: #MIB 
#MenInBlackInternational 
#MIBInternational

해쉬태그 이모티콘 보고싶어서 그림❤❤
햄식이 테사톰슨 리암니슨 엠마톰슨 https://t.co/LfVVyXd7nu"	126	1140619785618644992	Mon Jun 17 13:58:43 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	50
55	The MIB trailer was absolutely terrible I’m not surprised to hear people aren’t enjoying the movie. I don’t think t… https://t.co/ld3gAK8AfM	140	1140619374933528576	Mon Jun 17 13:57:05 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
56	อยากดูMIB	9	1140619682157752321	Mon Jun 17 13:58:18 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
57	今週末MIB見に行くで	11	1140620186644443136	Mon Jun 17 14:00:18 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	1	0
58	So basically Tessa Thompson in her MIB suit carrying Dragonfang. https://t.co/1CGUH7RkSL	88	1140619945266438144	Mon Jun 17 13:59:21 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
59	"RT @dersdeer: 'หมั่มม้า...ตรงนี้มีเหมิงอินแบล็ค กะ เหมียวอินแบล็ค'

#เผากะเหมียว
#MIB #MIBInternational https://t.co/e6BaCDAXv6"	127	1140619345569054720	Mon Jun 17 13:56:58 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	650
60	"@GAKKUNCHO3 違う次元(ﾕﾆﾊﾞｰｽ)の彼ら！？笑
こう聞くとMIBイギリス支部は安心ですね笑"	52	1140620210543575040	Mon Jun 17 14:00:24 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
61	#MIB https://t.co/MlmJfSgupG	28	1140619997263216641	Mon Jun 17 13:59:33 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
62	"Attn: Not every movie needs a sequel or remake. (Of course, I haven't seen a ""MIB' movie since MIB2). https://t.co/n4vR6K9lw2"	125	1140619394051014657	Mon Jun 17 13:57:09 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	0
63	Seryoso ba? Yung les twins nasa Men In Black (MIB) movie? Myghaaad gusto ko mapanuod!	85	1140620674119004162	Mon Jun 17 14:02:15 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
64	"#BoxOffice: ""MEN IN BLACK Takes the Top Spot in Another Disappointing Weekend""
#DarkPhoenix #MenInBlack… https://t.co/ZFtdmlFwwv"	128	1140620475611136002	Mon Jun 17 14:01:27 +0000 2019	"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>"	1	1
65	"仕事を終えて映画館へ向かうqentro。
疲れからか、不幸にも黒塗りの高級車に乗った黒ずくめの男（と女）に遭遇してしまう。
入場料を払い映画を楽しんだqentroに対し、車の主、MIBのエージェントが取り出した銀色のペンライト状の… https://t.co/D5ZelOaYW9"	140	1140620699947556864	Mon Jun 17 14:02:21 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
66	いや待てよパロらなくてもレイトショーで見に行ったあと多分帰ってふたりで何も言わず手持ちの黒スーツ引っ張り出して夜な夜なMIBごっこやり始めそうだなあのふたり　Fタックちゃんkawaiiねえ〜〜〜〜〜	99	1140619996621500417	Mon Jun 17 13:59:33 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1	0
67	あとMIBパロのFタックも考えたけどわりとそのまんま特にやってることが変わらなかったというアレ。相手が犯罪人か宇宙人かだけみたいな？それはそれとして黒スーツにウェリントンサングラスの二人は最高に見たい。要らんことばっかり喋ってるフ… https://t.co/bY0qZ5wPRp	140	1140619587148382210	Mon Jun 17 13:57:55 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
68	"RT @kinro_ntv: #メン・イン・ブラック3
😎金曜よる9時😎

「#アラジン」でも大活躍‼️ウィル・スミスさんの代表作✨製作総指揮スティーヴン・スピルバーグさんのSFアクションコメディー👽
#MIBInternational #MIB #メン・イン・ブラック #ウィ…"	140	1140620027210547202	Mon Jun 17 13:59:40 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	310
